sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
136	SGB136	k__Archaea	p__Candidatus_Bathyarchaeota	c__Candidatus_Bathyarchaeota_unclassified	o__Candidatus_Bathyarchaeota_unclassified	f__Candidatus_Bathyarchaeota_unclassified	g__Candidatus_Bathyarchaeota_unclassified	s__Candidatus_Bathyarchaeota_archaeon_RBG_13_60_20	t__SGB136	no	NA	NA
137	SGB137	k__Archaea	p__Candidatus_Bathyarchaeota	c__Candidatus_Bathyarchaeota_unclassified	o__Candidatus_Bathyarchaeota_unclassified	f__Candidatus_Bathyarchaeota_unclassified	g__Candidatus_Bathyarchaeota_unclassified	s__Candidatus_Bathyarchaeota_archaeon_RBG_13_52_12	t__SGB137	no	NA	NA
138	SGB138	k__Archaea	p__Candidatus_Bathyarchaeota	c__Candidatus_Bathyarchaeota_unclassified	o__Candidatus_Bathyarchaeota_unclassified	f__Candidatus_Bathyarchaeota_unclassified	g__Candidatus_Bathyarchaeota_unclassified	s__miscellaneous_Crenarchaeota_group_15_archaeon_DG_45	t__SGB138	no	NA	NA
139	SGB139	k__Archaea	p__Candidatus_Bathyarchaeota	c__Candidatus_Bathyarchaeota_unclassified	o__Candidatus_Bathyarchaeota_unclassified	f__Candidatus_Bathyarchaeota_unclassified	g__Candidatus_Bathyarchaeota_unclassified	s__Candidatus_Bathyarchaeota_archaeon_B23	t__SGB139	no	NA	NA
141	SGB141	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanocorpusculaceae	g__Methanocorpusculum	s__Methanocorpusculum_labreanum	t__SGB141	no	NA	NA
143	SGB143	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanolacinia	s__Methanolacinia_petrolearia	t__SGB143	no	NA	NA
144	SGB144	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoplanus	s__Methanoplanus_limicola	t__SGB144	no	NA	NA
145	SGB145	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanospirillaceae	g__Methanospirillum	s__Methanospirillum_hungatei	t__SGB145	no	NA	NA
146	SGB146	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_4	t__SGB146	no	NA	NA
149	SGB149	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula_boonei	t__SGB149	no	NA	NA
153	SGB153	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_3	t__SGB153	no	NA	NA
155	SGB155	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanoregula	s__Methanoregula_formicica	t__SGB155	no	NA	NA
156	SGB156	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_1	t__SGB156	no	NA	NA
163	SGB163	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanoregulaceae	g__Methanosphaerula	s__Methanosphaerula_palustris	t__SGB163	no	NA	NA
166	SGB166	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_53_19	t__SGB166	no	NA	NA
168	SGB168	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanofollis	s__Methanofollis_liminatans	t__SGB168	no	NA	NA
170	SGB170	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoculleus	s__Methanoculleus_bourgensis	t__SGB170	no	NA	NA
176	SGB176	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_2	t__SGB176	no	NA	NA
177	SGB177	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoculleus	s__Methanoculleus_marisnigri	t__SGB177	no	NA	NA
178	SGB178	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoculleus	s__Methanoculleus_sediminis	t__SGB178	no	NA	NA
179	SGB179	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiaceae	g__Methanoculleus	s__Methanoculleus_chikugoensis	t__SGB179	no	NA	NA
180	SGB180	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanomicrobiales	f__Methanomicrobiales_unclassified	g__Methanomicrobiales_unclassified	s__Methanomicrobiales_archaeon_HGW_Methanomicrobiales_6	t__SGB180	no	NA	NA
184	SGB184	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocella_paludicola	t__SGB184	no	NA	NA
185	SGB185	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocella_conradii	t__SGB185	no	NA	NA
186	SGB186	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanocellales	f__Methanocellaceae	g__Methanocella	s__Methanocella_arvoryzae	t__SGB186	no	NA	NA
187	SGB187	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosaetaceae	g__Methanothrix	s__Methanothrix_soehngenii	t__SGB187	no	NA	NA
191	SGB191	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosaetaceae	g__Methanothrix	s__Methanosaeta_harundinacea	t__SGB191	no	NA	NA
194	SGB194	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosaetaceae	g__Methanothrix	s__Methanosaeta_harundinacea	t__SGB194	no	NA	NA
196	SGB196	k__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__Methanosaetaceae	g__Methanothrix	s__Methanothrix_thermoacetophila	t__SGB196	no	NA	NA
200	SGB200	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sp_J07HR59	t__SGB200	no	NA	NA
201	SGB201	k__Archaea	p__Candidatus_Nanohaloarchaeota	c__Nanohaloarchaea	o__Nanohaloarchaea_unclassified	f__Nanohaloarchaea_unclassified	g__Candidatus_Nanosalinarum	s__Candidatus_Nanosalinarum_sp_J07AB56	t__SGB201	no	NA	NA
202	SGB202	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriales_unclassified	g__Halobacteriales_unclassified	s__halophilic_archaeon_J07HX5	t__SGB202	no	NA	NA
203	SGB203	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum_walsbyi	t__SGB203	no	NA	NA
204	SGB204	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum_walsbyi	t__SGB204	no	NA	NA
205	SGB205	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum_walsbyi	t__SGB205	no	NA	NA
206	SGB206	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum_sp_J07HQX50	t__SGB206	no	NA	NA
207	SGB207	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum_sulfurireducens	t__SGB207	no	NA	NA
208	SGB208	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halodesulfurarchaeum	s__Halodesulfurarchaeum_formicicum	t__SGB208	no	NA	NA
209	SGB209	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriales_unclassified	g__Halobacteriales_unclassified	s__halophilic_archaeon_J07HX64	t__SGB209	no	NA	NA
210	SGB210	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halovenus	s__Halovenus_aranensis	t__SGB210	no	NA	NA
211	SGB211	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriales_unclassified	g__Halobacteriales_unclassified	s__halophilic_archaeon_J07HB67	t__SGB211	no	NA	NA
212	SGB212	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__uncultured_archaeon_A07HB70	t__SGB212	no	NA	NA
213	SGB213	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_paucihalophilus	t__SGB213	no	NA	NA
214	SGB214	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_sp_R4	t__SGB214	no	NA	NA
215	SGB215	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haladaptatus	s__Haladaptatus_litoreus	t__SGB215	no	NA	NA
216	SGB216	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halonotius	s__Halonotius_sp_J07HN6	t__SGB216	no	NA	NA
217	SGB217	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halonotius	s__Halonotius_sp_J07HN4	t__SGB217	no	NA	NA
218	SGB218	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_pharaonis	t__SGB218	no	NA	NA
219	SGB219	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Natronomonas	s__Natronomonas_moolapensis	t__SGB219	no	NA	NA
220	SGB220	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus_tiamatea	t__SGB220	no	NA	NA
221	SGB221	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus_utahensis	t__SGB221	no	NA	NA
222	SGB222	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_japonica	t__SGB222	no	NA	NA
223	SGB223	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_argentinensis	t__SGB223	no	NA	NA
224	SGB224	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_sinaiiensis	t__SGB224	no	NA	NA
225	SGB225	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_hispanica	t__SGB225	no	NA	NA
226	SGB226	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_vallismortis	t__SGB226	no	NA	NA
227	SGB227	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula_rubripromontorii	t__SGB227	no	NA	NA
228	SGB228	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_regularis	t__SGB228	no	NA	NA
229	SGB229	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_persicus	t__SGB229	no	NA	NA
230	SGB230	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorientalis	s__Halorientalis_sp_IM1011	t__SGB230	no	NA	NA
231	SGB231	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium_mukohataei	t__SGB231	no	NA	NA
232	SGB232	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium_zhouii	t__SGB232	no	NA	NA
233	SGB233	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halosimplex	s__Halosimplex_carlsbadense	t__SGB233	no	NA	NA
234	SGB234	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriales_unclassified	g__Halobacteriales_unclassified	s__halophilic_archaeon_True_ADL	t__SGB234	no	NA	NA
235	SGB235	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacales_unclassified	g__Haloferacales_unclassified	s__halophilic_archaeon_DL31	t__SGB235	no	NA	NA
236	SGB236	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium_sp_DL1	t__SGB236	no	NA	NA
237	SGB237	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_larsenii	t__SGB237	no	NA	NA
238	SGB238	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_elongans	t__SGB238	no	NA	NA
239	SGB239	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_mediterranei	t__SGB239	no	NA	NA
240	SGB240	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_gibbonsii	t__SGB240	no	NA	NA
241	SGB241	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_volcanii	t__SGB241	no	NA	NA
242	SGB242	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_massiliensis	t__SGB242	no	NA	NA
243	SGB243	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloferax	s__Haloferax_sp_SB29	t__SGB243	no	NA	NA
244	SGB244	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halopelagius	s__Halopelagius_longus	t__SGB244	no	NA	NA
245	SGB245	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halopelagius	s__Halopelagius_inordinatus	t__SGB245	no	NA	NA
246	SGB246	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum_borinquense	t__SGB246	no	NA	NA
247	SGB247	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum_pallidum	t__SGB247	no	NA	NA
248	SGB248	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum_rufum	t__SGB248	no	NA	NA
249	SGB249	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogranum	s__Halogranum_rubrum	t__SGB249	no	NA	NA
250	SGB250	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogranum	s__Halogranum_amylolyticum	t__SGB250	no	NA	NA
251	SGB251	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halogranum	s__Halogranum_gelatinilyticum	t__SGB251	no	NA	NA
252	SGB252	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus_marisrubri	t__SGB252	no	NA	NA
253	SGB253	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Salinigranum	s__Salinigranum_rubrum	t__SGB253	no	NA	NA
254	SGB254	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus_vescus	t__SGB254	no	NA	NA
255	SGB255	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Salinarchaeum	s__Salinarchaeum_sp_Harcht_Bsk1	t__SGB255	no	NA	NA
256	SGB256	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Natronoarchaeum	s__Natronoarchaeum_philippinense	t__SGB256	no	NA	NA
257	SGB257	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium_salinarum	t__SGB257	no	NA	NA
258	SGB258	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium_hubeiense	t__SGB258	no	NA	NA
259	SGB259	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium_jilantaiense	t__SGB259	no	NA	NA
260	SGB260	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum_acidiphilum	t__SGB260	no	NA	NA
261	SGB261	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halobellus	s__Halobellus_clavatus	t__SGB261	no	NA	NA
262	SGB262	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Haloferacaceae	g__Halobellus	s__Halobellus_limi	t__SGB262	no	NA	NA
263	SGB263	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Candidatus_Halobonum	s__Candidatus_Halobonum_tyrrellensis	t__SGB263	no	NA	NA
264	SGB264	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halobaculum	s__Halobaculum_gomorrense	t__SGB264	no	NA	NA
265	SGB265	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halolamina	s__Halolamina_pelagica	t__SGB265	no	NA	NA
266	SGB266	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halolamina	s__Halolamina_pelagica	t__SGB266	no	NA	NA
267	SGB267	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halolamina	s__Halolamina_sp_CBA1230	t__SGB267	no	NA	NA
268	SGB268	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halopenitus	s__Halopenitus_persicus	t__SGB268	no	NA	NA
269	SGB269	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halopenitus	s__Halopenitus_malekzadehii	t__SGB269	no	NA	NA
270	SGB270	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_hochstenium	t__SGB270	no	NA	NA
271	SGB271	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sp_AJ67	t__SGB271	no	NA	NA
272	SGB272	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_ezzemoulense	t__SGB272	no	NA	NA
273	SGB273	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_coriense	t__SGB273	no	NA	NA
274	SGB274	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_distributum	t__SGB274	no	NA	NA
275	SGB275	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sp	t__SGB275	no	NA	NA
276	SGB276	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sodomense	t__SGB276	no	NA	NA
277	SGB277	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_californiense	t__SGB277	no	NA	NA
278	SGB278	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sp_Ea8	t__SGB278	no	NA	NA
279	SGB279	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_kocurii	t__SGB279	no	NA	NA
280	SGB280	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_lipolyticum	t__SGB280	no	NA	NA
281	SGB281	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_saccharovorum	t__SGB281	no	NA	NA
282	SGB282	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_sp_WN019	t__SGB282	no	NA	NA
283	SGB283	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_saccharovorum	t__SGB283	no	NA	NA
284	SGB284	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_persicum	t__SGB284	no	NA	NA
285	SGB285	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_lacusprofundi	t__SGB285	no	NA	NA
286	SGB286	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_aidingense	t__SGB286	no	NA	NA
287	SGB287	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_halodurans	t__SGB287	no	NA	NA
288	SGB288	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__uncultured_archaeon_A07HR67	t__SGB288	no	NA	NA
289	SGB289	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Haloferacales	f__Halorubraceae	g__Halorubrum	s__Halorubrum_vacuolatum	t__SGB289	no	NA	NA
290	SGB290	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Haloarchaeobius	s__Haloarchaeobius_iranensis	t__SGB290	no	NA	NA
291	SGB291	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halovivax	s__Halovivax_ruber	t__SGB291	no	NA	NA
292	SGB292	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halovivax	s__Halovivax_asiaticus	t__SGB292	no	NA	NA
293	SGB293	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola_sp_A56	t__SGB293	no	NA	NA
294	SGB294	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola_kamekurae	t__SGB294	no	NA	NA
295	SGB295	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola_larsenii	t__SGB295	no	NA	NA
296	SGB296	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_aegyptia	t__SGB296	no	NA	NA
297	SGB297	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_asiatica	t__SGB297	no	NA	NA
298	SGB298	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_magadii	t__SGB298	no	NA	NA
299	SGB299	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_hulunbeirensis	t__SGB299	no	NA	NA
300	SGB300	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_sp_SSL1	t__SGB300	no	NA	NA
301	SGB301	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Natrialba	s__Natrialba_chahannaoensis	t__SGB301	no	NA	NA
302	SGB302	k__Archaea	p__Euryarchaeota	c__Halobacteria	o__Natrialbales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena_daqingensis	t__SGB302	no	NA	NA
